REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2020,30.8714534551714
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2021,14.6244080493818
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2022,12.5249452849001
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2023,10.4254825204181
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2024,8.32601975593627
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2025,6.22655699145437
"GLOBAL","S1D1","PWRCCGNPLXX01",1,"GASNPL",2026,3.51919305396888
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2020,37.4510640994891
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2021,73.7541239564906
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2022,89.4017131571829
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2023,105.049302357875
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2024,120.696891558568
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2025,136.34448075926
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2026,154.742460192851
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2027,172.983510525518
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2028,188.956198821641
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2029,204.929140395201
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2030,220.901828691325
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2031,238.972920554196
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2032,257.041732920133
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2033,275.11054528607
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2034,283.107073543867
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2035,299.661389824071
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2036,318.134744450747
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2037,336.608099077423
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2038,355.081453704098
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2039,373.552487849098
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2040,392.025842475774
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2041,412.151380056122
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2042,432.276917636471
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2043,451.185583168408
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2044,469.774087057423
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2045,488.362590946439
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2046,508.944327697991
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2047,529.528207710686
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2048,550.109944462238
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2049,570.693824474929
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2050,573.193725980407
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2051,599.253723469703
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2052,625.313720959
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2053,651.373718448296
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2054,677.435871972794
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2055,703.495869462091
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2056,732.384585136707
"GLOBAL","S1D1","PWRCOANPLXX01",1,"COANPL",2057,761.275456846525
