REGION,YEAR,VALUE
"R1",2020,3074258.67644939
"R1",2021,125594.000975014
"R1",2022,120612.413282887
"R1",2023,115836.167441944
"R1",2024,111201.061114115
"R1",2025,106757.488289247
"R1",2026,102459.788578019
"R1",2027,98304.664231017
"R1",2028,94321.7915503418
"R1",2029,90461.5958054382
"R1",2030,86761.7157919969
"R1",2031,83186.832692655
"R1",2032,79733.8685322668
"R1",2033,76424.6287967974
"R1",2034,73221.1236887275
"R1",2035,70151.1158989871
"R1",2036,67187.5018106482
"R1",2037,64327.4826076502
"R1",2038,61586.7986524158
"R1",2039,58936.6342616473
"R1",2040,56397.1063360121
"R1",2041,53947.6360795013
"R1",2042,51585.7272106124
"R1",2043,49322.4477241167
"R1",2044,47136.2461098788
"R1",2045,45041.3209866982
"R1",2046,43022.2748739827
"R1",2047,41076.9141982591
"R1",2048,39212.7085693924
"R1",2049,37413.857706436
"R1",2050,35689.9798227593
"R1",2051,34029.7911561493
"R1",2052,32431.3867624688
"R1",2053,30899.4658225554
"R1",2054,29422.780960397
"R1",2055,28007.4059660288
"R1",2056,26645.3226110083
"R1",2057,25334.8924120099
"R1",2058,24078.6822387785
"R1",2059,22869.0485997835
"R1",2060,21709.3229598031
"R1",2061,20594.0788864726
"R1",2062,19521.9182611306
"R1",2063,18493.7673135482
"R1",2064,17504.8349390952
"R1",2065,16556.3312038187
"R1",2066,15644.8864009866
"R1",2067,14769.3154921172
"R1",2068,13929.2827923252
"R1",2069,13122.2545640807
"R1",2070,12347.8000804204
