name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
CapitalCost,capital,"R1,HYDRO",4500,5500,2000,3000,"unif","YEAR","interpolate"
FixedCost,fixed,"R1,HYDRO",30,60,30,60,"unif","YEAR","fixed"
