REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"R1","S1D2","TRANSMISSION",1,"ELC_01",2058,30187.41408
"R1","S1D2","TRANSMISSION",1,"ELC_01",2059,30540.78016
"R1","S1D2","TRANSMISSION",1,"ELC_01",2060,30894.23872
"R1","S1D2","TRANSMISSION",1,"ELC_01",2061,31247.69728
"R1","S1D2","TRANSMISSION",1,"ELC_01",2062,31601.06336
"R1","S1D2","TRANSMISSION",1,"ELC_01",2063,31954.52192
"R1","S1D2","TRANSMISSION",1,"ELC_01",2064,32307.888
"R1","S1D2","TRANSMISSION",1,"ELC_01",2065,32661.34656
"R1","S1D2","TRANSMISSION",1,"ELC_01",2066,33014.80512
"R1","S1D2","TRANSMISSION",1,"ELC_01",2067,33368.1712
"R1","S1D2","TRANSMISSION",1,"ELC_01",2068,33721.62976
"R1","S1D2","TRANSMISSION",1,"ELC_01",2069,34074.99584
"R1","S1D2","TRANSMISSION",1,"ELC_01",2070,34428.4544
"R1","S1D2","HYDRO",1,"WATER",2020,11274.12
"R1","S1D2","HYDRO",1,"WATER",2021,11048.6376
"R1","S1D2","HYDRO",1,"WATER",2022,10823.1552
"R1","S1D2","HYDRO",1,"WATER",2023,10597.6728
"R1","S1D2","HYDRO",1,"WATER",2024,10372.1904
"R1","S1D2","HYDRO",1,"WATER",2025,10146.708
"R1","S1D2","HYDRO",1,"WATER",2026,9921.22559999999
"R1","S1D2","HYDRO",1,"WATER",2027,9695.74320000002
"R1","S1D2","HYDRO",1,"WATER",2028,9470.26080000001
"R1","S1D2","HYDRO",1,"WATER",2029,9244.77839999998
"R1","S1D2","HYDRO",1,"WATER",2030,9019.296
"R1","S1D2","HYDRO",1,"WATER",2031,8793.8136
"R1","S1D2","HYDRO",1,"WATER",2032,8568.3312
"R1","S1D2","HYDRO",1,"WATER",2033,8342.8488
"R1","S1D2","HYDRO",1,"WATER",2034,8740.26775380046
"R1","S1D2","HYDRO",1,"WATER",2035,9589.18404180047
"R1","S1D2","HYDRO",1,"WATER",2036,10438.1003298005
"R1","S1D2","HYDRO",1,"WATER",2037,11286.8928282005
"R1","S1D2","HYDRO",1,"WATER",2038,12135.8091162005
"R1","S1D2","HYDRO",1,"WATER",2039,12984.6016146005
"R1","S1D2","HYDRO",1,"WATER",2040,13833.5179026005
"R1","S1D2","HYDRO",1,"WATER",2041,14682.4341906005
"R1","S1D2","HYDRO",1,"WATER",2042,15531.2266890005
"R1","S1D2","HYDRO",1,"WATER",2043,16380.1429770005
"R1","S1D2","HYDRO",1,"WATER",2044,17228.9354754005
"R1","S1D2","HYDRO",1,"WATER",2045,18077.8517634005
"R1","S1D2","HYDRO",1,"WATER",2046,18926.7680514005
"R1","S1D2","HYDRO",1,"WATER",2047,19775.5605498005
"R1","S1D2","HYDRO",1,"WATER",2048,20624.4768378005
"R1","S1D2","HYDRO",1,"WATER",2049,21473.2693362005
"R1","S1D2","HYDRO",1,"WATER",2050,22322.1856242005
"R1","S1D2","HYDRO",1,"WATER",2051,23752.4905794005
"R1","S1D2","HYDRO",1,"WATER",2052,25299.7655394005
"R1","S1D2","HYDRO",1,"WATER",2053,26847.2880786005
"R1","S1D2","HYDRO",1,"WATER",2054,28394.5630386005
"R1","S1D2","HYDRO",1,"WATER",2055,29942.0855778005
"R1","S1D2","HYDRO",1,"WATER",2056,31489.6081170005
"R1","S1D2","HYDRO",1,"WATER",2057,32817.351072
"R1","S1D2","HYDRO",1,"WATER",2058,33206.1554879999
"R1","S1D2","HYDRO",1,"WATER",2059,33594.858176
"R1","S1D2","HYDRO",1,"WATER",2060,33983.662592
"R1","S1D2","HYDRO",1,"WATER",2061,34372.467008
"R1","S1D2","HYDRO",1,"WATER",2062,34761.169696
