REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"R1","S1D1","TRANSMISSION",1,"ELC_01",2020,17300.976
"R1","S1D1","TRANSMISSION",1,"ELC_01",2021,17665.90056
"R1","S1D1","TRANSMISSION",1,"ELC_01",2022,18030.72964
"R1","S1D1","TRANSMISSION",1,"ELC_01",2023,18395.6542
"R1","S1D1","TRANSMISSION",1,"ELC_01",2024,18760.48328
"R1","S1D1","TRANSMISSION",1,"ELC_01",2025,19125.40784
"R1","S1D1","TRANSMISSION",1,"ELC_01",2026,19490.3324
"R1","S1D1","TRANSMISSION",1,"ELC_01",2027,19855.16148
"R1","S1D1","TRANSMISSION",1,"ELC_01",2028,20220.08604
"R1","S1D1","TRANSMISSION",1,"ELC_01",2029,20584.91512
"R1","S1D1","TRANSMISSION",1,"ELC_01",2030,20949.83968
"R1","S1D1","TRANSMISSION",1,"ELC_01",2031,21314.76424
"R1","S1D1","TRANSMISSION",1,"ELC_01",2032,21679.59332
"R1","S1D1","TRANSMISSION",1,"ELC_01",2033,22044.51788
"R1","S1D1","TRANSMISSION",1,"ELC_01",2034,22409.34696
"R1","S1D1","TRANSMISSION",1,"ELC_01",2035,22774.27152
"R1","S1D1","TRANSMISSION",1,"ELC_01",2036,23139.19608
"R1","S1D1","TRANSMISSION",1,"ELC_01",2037,23504.02516
"R1","S1D1","TRANSMISSION",1,"ELC_01",2038,23868.94972
"R1","S1D1","TRANSMISSION",1,"ELC_01",2039,24233.7788
"R1","S1D1","TRANSMISSION",1,"ELC_01",2040,24598.70336
"R1","S1D1","TRANSMISSION",1,"ELC_01",2041,24963.62792
"R1","S1D1","TRANSMISSION",1,"ELC_01",2042,25328.457
"R1","S1D1","TRANSMISSION",1,"ELC_01",2043,25693.38156
"R1","S1D1","TRANSMISSION",1,"ELC_01",2044,26058.21064
"R1","S1D1","TRANSMISSION",1,"ELC_01",2045,26423.1352
"R1","S1D1","TRANSMISSION",1,"ELC_01",2046,26788.05976
"R1","S1D1","TRANSMISSION",1,"ELC_01",2047,27152.88884
"R1","S1D1","TRANSMISSION",1,"ELC_01",2048,27517.8134
"R1","S1D1","TRANSMISSION",1,"ELC_01",2049,27882.64248
"R1","S1D1","TRANSMISSION",1,"ELC_01",2050,28247.56704
"R1","S1D1","TRANSMISSION",1,"ELC_01",2051,28612.4916
"R1","S1D1","TRANSMISSION",1,"ELC_01",2052,28977.32068
"R1","S1D1","TRANSMISSION",1,"ELC_01",2053,29342.24524
"R1","S1D1","TRANSMISSION",1,"ELC_01",2054,29707.07432
"R1","S1D1","TRANSMISSION",1,"ELC_01",2055,30071.99888
"R1","S1D1","TRANSMISSION",1,"ELC_01",2056,30436.92344
"R1","S1D1","TRANSMISSION",1,"ELC_01",2057,30801.75252
"R1","S1D1","TRANSMISSION",1,"ELC_01",2058,31166.67708
