,mu,mu_star,sigma,mu_star_conf
capital,955036.0830267633,955036.0830267633,90422.37824910082,52436.06879521042
fixed,532696.6742273131,532696.6742273131,51356.274342283454,33174.75775190567
demand,1040397.6642630812,1040397.6642630812,124338.97996699194,69852.96302530545
