,mu,mu_star,sigma,mu_star_conf
Capital_Hydro,147327.3013640715,147327.3013640715,181341.11274264532,117354.19271846012
Capital_Fossil,192136.13327337598,192136.13327337598,108353.60936838332,59545.035174684985
Fixed_Hydro,76949.33612312847,76949.33612312847,117519.35296018592,75886.7384833785
Fixed_Fossil,243760.4780921895,243760.4780921895,104311.24914977002,56045.46097466362
Variable_Fossil,1157889.6921035552,1157889.6921035552,426533.4547198026,243334.61882435615
Efficiency_Fossil,352217.47918743605,352217.47918743605,108191.0344319352,57435.053271397825
OpLife_Hydro,-55597.38649367108,55597.38649367108,54285.953306938616,30913.38881731423
OpLife_Fossil,-45988.90748444719,45988.90748444719,28272.239327014464,18082.557468894425
Demand,789556.1506506044,789556.1506506044,133978.69740640334,69682.78681412444
