,mu,mu_star,sigma,mu_star_conf
capital,829662.1170387755,829662.1170387755,4.52541427597194e-10,5.498884011404099e-10
fixed,482780.0406791808,482780.0406791808,1.0282584618879704e-08,6.619795678328265e-09
