name,group,indexes,min_value,max_value,dist,interpolation_index,action
DiscountRate,discountrate,"GLOBAL,GCIELEX0N",0.05,0.2,unif,None,fixed
CapitalCost,pvcapex,"GLOBAL,GCPSOUT0N",280,1120,unif,YEAR,interpolate
CapitalCost,intcapex,"GLOBAL,GCIELEX0N",2000,6000,unif,YEAR,fixed
VariableCost,fossil,"GLOBAL,INRNGIM00,1",5.7,9.6,unif,YEAR,fixed
VariableCost,fossil,"GLOBAL,INROIIM00,1",5.7,9.6,unif,YEAR,fixed
VariableCost,fossil,"GLOBAL,INRDSIM00,1",5.7,9.6,unif,YEAR,fixed
EmissionsPenalty,carbontax,"GLOBAL,INCO2",5.4,150,unif,YEAR,fixed
